what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112644732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112646905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112653108
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1346112686393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112691866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112714580
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346112714592
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346112714759
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346112720445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112751907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112776474
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346112776492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112781896
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346112783457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112783541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346112783547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112785922
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346112787395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112787485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346112787601
activated,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1346112792967
activated,editor,org.jboss.tools.common.model.ui,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1346112801810
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346112818177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112821344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112835013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1346112835022
opened,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1346112835494
activated,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1346112835704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1346112839057
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346112840410
activated,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1346112845505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346112850736
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346112852378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112854743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112856781
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1346112856801
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1346112864876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112870534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112881255
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346112890500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112892283
closed,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1346112893848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112893937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346112893945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112896823
closed,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1346112898247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112898344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346112898351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112902189
closed,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1346112903712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112903787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346112903795
activated,editor,org.jboss.tools.common.model.ui,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1346112906864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112910041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346112911065
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1346112912739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1346112917376
activated,editor,org.jboss.tools.common.model.ui,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1346112921787
activated,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1346112922133
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1346112923208
closed,editor,org.jboss.tools.jst.jsp,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1346112923209
closed,editor,org.jboss.tools.common.model.ui,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1346112923228
closed,editor,org.jboss.tools.central,1.0.1.v20120715-0355-H112-Final,"org.jboss.tools.central.editors.JBossCentralEditor",1346112923244
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346112923256
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346112923277
closed,editor,org.jboss.tools.common.model.ui,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1346112923321
